,Set,NGenes,Direction,PValue,FDR,DEG.GENES
31,GOMF_RETINOL_BINDING,3,Up,0.000655629187437524,0.337649031530325,
32,GOBP_RESPONSE_TO_THYROID_HORMONE,16,Up,0.000742408056498337,0.354500003663522,CTSB
33,GOBP_POSITIVE_REGULATION_OF_MONOCYTE_EXTRAVASATION,3,Up,0.000754963991516427,0.354500003663522,
34,GOBP_REGULATION_OF_MONOCYTE_EXTRAVASATION,3,Up,0.000754963991516427,0.354500003663522,
35,HP_POSTEXERTIONAL_SYMPTOM_EXACERBATION,7,Down,0.000885950997067213,0.394289066185318,PYGL
36,GOBP_CELLULAR_RESPONSE_TO_COPPER_ION,16,Up,0.000900584564804243,0.394289066185318,
37,GOBP_MONOCYTE_CHEMOTAXIS,28,Up,0.000922322555899,0.394289066185318,LGMN
38,GOMF_CARDIOLIPIN_BINDING,8,Up,0.000975296963814241,0.394289066185318,
39,GOBP_IMMATURE_T_CELL_PROLIFERATION,5,Down,0.000983247657275318,0.394289066185318,
40,GOCC_ENDOPLASMIC_RETICULUM_LUMEN,170,Up,0.000993520562097011,0.394289066185318,GOLM1,ERAP2,CES1
41,HP_NEURONAL_LOSS_IN_THE_CEREBRAL_CORTEX,13,Up,0.00102783702599611,0.394289066185318,
42,GOBP_INTRACELLULAR_ZINC_ION_HOMEOSTASIS,23,Up,0.00103727784402026,0.394289066185318,
43,HP_LOSS_OF_SPEECH,44,Up,0.00109827357692239,0.407765991989906,NPC2
44,GOBP_NEGATIVE_REGULATION_OF_INTERFERON_ALPHA_PRODUCTION,3,Up,0.0012619950231916,0.450410630103108,
45,GOBP_RESPONSE_TO_HEPATOCYTE_GROWTH_FACTOR,13,Up,0.001281054070552,0.450410630103108,LGMN
46,GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,16,Up,0.00133317553774934,0.450410630103108,
47,GOMF_CYTOSKELETAL_ANCHOR_ACTIVITY,15,Up,0.00134936877395554,0.450410630103108,
48,HP_PALMAR_HYPERHIDROSIS,5,Up,0.00135419419010017,0.450410630103108,CTSB
49,GOBP_GLYCOLIPID_TRANSPORT,8,Up,0.00151496138595207,0.480977723747687,NPC2
50,GOCC_SARCOPLASMIC_RETICULUM_LUMEN,4,Up,0.00153151196275584,0.480977723747687,
